Eigenvalues rho
40656.7 0.004329
40876.6 0.00865801
41106.9 0.012987
41178 0.017316
41250.1 0.021645
41283.4 0.025974
41411.5 0.030303
41617.7 0.034632
41693.2 0.038961
41828.1 0.04329
41974.9 0.047619
42023.8 0.0519481
42128.8 0.0562771
42252.9 0.0606061
42611 0.0649351
42614 0.0692641
42649.3 0.0735931
42663.8 0.0779221
42676 0.0822511
42726.5 0.0865801
42776.8 0.0909091
42826.5 0.0952381
42910.8 0.0995671
43016.6 0.103896
43125.1 0.108225
43247.5 0.112554
43496 0.116883
43752.3 0.121212
45170.3 0.125541
45521.8 0.12987
45555.2 0.134199
45629.2 0.138528
45662.8 0.142857
45681 0.147186
45684.6 0.151515
45704.7 0.155844
45719.4 0.160173
45758.9 0.164502
45931.7 0.168831
46102.4 0.17316
46679.5 0.177489
46689.3 0.181818
47608.4 0.186147
48323.7 0.190476
48479.3 0.194805
48627.9 0.199134
48709.8 0.203463
48872 0.207792
49000.1 0.212121
49444.5 0.21645
49784.2 0.220779
49949.1 0.225108
50075.6 0.229437
50491 0.233766
50643.6 0.238095
51024 0.242424
51311.4 0.246753
62246.2 0.251082
63004.5 0.255411
63166.7 0.25974
63397.1 0.264069
63675.5 0.268398
63752.7 0.272727
64089.6 0.277056
64241.2 0.281385
64476.7 0.285714
64846.8 0.290043
65059.7 0.294372
65793.4 0.298701
66297.6 0.30303
67970.3 0.307359
68787.3 0.311688
68968.3 0.316017
70053.4 0.320346
70526.6 0.324675
71243.1 0.329004
71699.2 0.333333
72477.2 0.337662
72924.3 0.341991
73659.1 0.34632
74389.5 0.350649
75390.2 0.354978
76277.7 0.359307
76533.1 0.363636
77837.4 0.367965
78270.6 0.372294
83206.1 0.376623
83797.8 0.380952
84883.9 0.385281
85440.6 0.38961
86115.1 0.393939
87226 0.398268
87878.5 0.402597
89278.5 0.406926
89677 0.411255
90879.9 0.415584
92011.2 0.419913
92803.5 0.424242
93625.6 0.428571
95905.4 0.4329
96261.2 0.437229
98604.4 0.441558
99691.1 0.445887
100939 0.450216
101789 0.454545
102839 0.458874
103658 0.463203
104674 0.467532
106219 0.471861
107559 0.47619
107648 0.480519
109297 0.484848
110155 0.489177
111148 0.493506
116455 0.497835
123165 0.502165
128771 0.506494
130150 0.510823
131181 0.515152
131986 0.519481
133085 0.52381
133591 0.528139
135030 0.532468
137443 0.536797
138805 0.541126
138989 0.545455
139368 0.549784
140412 0.554113
141421 0.558442
143513 0.562771
145061 0.5671
145682 0.571429
147170 0.575758
147919 0.580087
148757 0.584416
150421 0.588745
150994 0.593074
151874 0.597403
152436 0.601732
153521 0.606061
154163 0.61039
154663 0.614719
155170 0.619048
156804 0.623377
160025 0.627706
161569 0.632035
162051 0.636364
162379 0.640693
163360 0.645022
164161 0.649351
164874 0.65368
165466 0.658009
166405 0.662338
166775 0.666667
167675 0.670996
168148 0.675325
168419 0.679654
168786 0.683983
169300 0.688312
171760 0.692641
172117 0.69697
172879 0.701299
173068 0.705628
173316 0.709957
173543 0.714286
173818 0.718615
174203 0.722944
174583 0.727273
174728 0.731602
174850 0.735931
175040 0.74026
175189 0.744589
175586 0.748918
187080 0.753247
187315 0.757576
187972 0.761905
188202 0.766234
188696 0.770563
188993 0.774892
189463 0.779221
189594 0.78355
189850 0.787879
190031 0.792208
190113 0.796537
190338 0.800866
190534 0.805195
190738 0.809524
192135 0.813853
192470 0.818182
192496 0.822511
192601 0.82684
192687 0.831169
192727 0.835498
192826 0.839827
192850 0.844156
193015 0.848485
193112 0.852814
193155 0.857143
193226 0.861472
193524 0.865801
193829 0.87013
194547 0.874459
194729 0.878788
194789 0.883117
194818 0.887446
194843 0.891775
194848 0.896104
194873 0.900433
194888 0.904762
194889 0.909091
194951 0.91342
194956 0.917749
194994 0.922078
195053 0.926407
195068 0.930736
195820 0.935065
196052 0.939394
196387 0.943723
196517 0.948052
196835 0.952381
197222 0.95671
197377 0.961039
197498 0.965368
197619 0.969697
197929 0.974026
197980 0.978355
198093 0.982684
198188 0.987013
198340 0.991342
198428 0.995671
